Group,RID,Time_seg,Place,Stage,Batch,Time
Str,52,185.00,Dark,T2,4,Test
Alc,53,205.00,Dark,T2,4,Test
Ctr,54,225.00,Dark,T2,4,Test
Alc,56,169.00,Dark,T2,4,Test
Str,57,229.00,Dark,T2,4,Test
Alc+Str,58,153.00,Dark,T2,4,Test
Ctr,59,193.00,Dark,T2,4,Test
Alc,61,199.21,Dark,T2,4,Test
Alc+Str,62,163.00,Dark,T2,4,Test
Ctr,63,173.26,Dark,T2,4,Test
Ctr,64,209.51,Dark,T2,4,Test
Str,65,221.08,Dark,T2,4,Test
Alc+Str,66,171.46,Dark,T2,4,Test
Alc,67,119.34,Dark,T2,4,Test
Str,52,134.00,White,T2,4,Test
Alc,53,168.00,White,T2,4,Test
Ctr,54,198.00,White,T2,4,Test
Alc,56,186.00,White,T2,4,Test
Str,57,207.00,White,T2,4,Test
Alc+Str,58,130.00,White,T2,4,Test
Ctr,59,132.00,White,T2,4,Test
Alc,61,168.49,White,T2,4,Test
Alc+Str,62,178.00,White,T2,4,Test
Ctr,63,159.11,White,T2,4,Test
Ctr,64,181.81,White,T2,4,Test
Str,65,89.12,White,T2,4,Test
Alc+Str,66,113.32,White,T2,4,Test
Alc,67,150.42,White,T2,4,Test
Str,52,180.00,Dark,T1,4,Pretest
Alc,53,216.00,Dark,T1,4,Pretest
Ctr,54,479.86,Dark,T1,4,Pretest
Alc,56,265.38,Dark,T1,4,Pretest
Str,57,319.64,Dark,T1,4,Pretest
Alc+Str,58,596.00,Dark,T1,4,Pretest
Ctr,59,560.00,Dark,T1,4,Pretest
Alc,61,350.00,Dark,T1,4,Pretest
Alc+Str,62,364.32,Dark,T1,4,Pretest
Ctr,63,274.27,Dark,T1,4,Pretest
Ctr,64,356.19,Dark,T1,4,Pretest
Str,65,337.38,Dark,T1,4,Pretest
Alc+Str,66,339.43,Dark,T1,4,Pretest
Alc,67,561.00,Dark,T1,4,Pretest
Str,52,193.00,White,T1,4,Pretest
Alc,53,195.00,White,T1,4,Pretest
Ctr,54,37.90,White,T1,4,Pretest
Alc,56,92.32,White,T1,4,Pretest
Str,57,55.89,White,T1,4,Pretest
Alc+Str,58,0.00,White,T1,4,Pretest
Ctr,59,0.00,White,T1,4,Pretest
Alc,61,193.00,White,T1,4,Pretest
Alc+Str,62,45.78,White,T1,4,Pretest
Ctr,63,123.78,White,T1,4,Pretest
Ctr,64,88.69,White,T1,4,Pretest
Str,65,128.59,White,T1,4,Pretest
Alc+Str,66,6.14,White,T1,4,Pretest
Alc,67,0.00,White,T1,4,Pretest
Alc+Str,68,487.8,Dark,T2,5,Pretest
Alc+Str,68,360,White,T2,5,Pretest
Alc,69,283.8,White,T2,5,Pretest
Alc,69,336,Dark,T2,5,Pretest
Ctr,70,283.8,Dark,T2,5,Pretest
Ctr,70,211.8,White,T2,5,Pretest
Alc+Str,71,276,White,T2,5,Pretest
Alc+Str,71,360,Dark,T2,5,Pretest
Str,72,252,White,T2,5,Pretest
Str,72,252,Dark,T2,5,Pretest
Str,74,336,White,T2,5,Pretest
Str,74,603.6,Dark,T2,5,Pretest
Ctr,75,451.8,White,T2,5,Pretest
Ctr,75,355.8,Dark,T2,5,Pretest
Alc,76,432,White,T2,5,Pretest
Alc,76,468,Dark,T2,5,Pretest
Alc,77,408,White,T2,5,Pretest
Alc,77,367.8,Dark,T2,5,Pretest
Alc+Str,78,108,White,T2,5,Pretest
Alc+Str,78,258,Dark,T2,5,Pretest
Str,79,279.6,White,T2,5,Pretest
Str,79,391.8,Dark,T2,5,Pretest
Alc+Str,81,252,White,T2,5,Pretest
Alc+Str,81,691.8,Dark,T2,5,Pretest
Str,83,384,White,T2,5,Pretest
Str,83,511.8,Dark,T2,5,Pretest
Ctr,84,307.8,White,T2,5,Pretest
Ctr,84,288,Dark,T2,5,Pretest
Alc,85,279.6,White,T2,5,Pretest
Alc,85,403.8,Dark,T2,5,Pretest
Ctr,87,204,White,T2,5,Pretest
Ctr,87,235.8,Dark,T2,5,Pretest
Alc+Str,68,237,White,T2,5,Test
Alc+Str,68,925,Dark,T2,5,Test
Alc,69,178,White,T2,5,Test
Alc,69,508,Dark,T2,5,Test
Ctr,70,258,White,T2,5,Test
Ctr,70,532,Dark,T2,5,Test
Alc+Str,71,281,White,T2,5,Test
Alc+Str,71,886,Dark,T2,5,Test
Str,72,530,White,T2,5,Test
Str,72,336,Dark,T2,5,Test
Str,74,286,White,T2,5,Test
Str,74,662,Dark,T2,5,Test
Ctr,75,286,White,T2,5,Test
Ctr,75,506,Dark,T2,5,Test
Alc,76,252,White,T2,5,Test
Alc,76,632,Dark,T2,5,Test
Alc,77,189,White,T2,5,Test
Alc,77,459,Dark,T2,5,Test
Alc+Str,78,489,White,T2,5,Test
Alc+Str,78,345,Dark,T2,5,Test
Str,79,300,White,T2,5,Test
Str,79,501,Dark,T2,5,Test
Alc+Str,81,519,White,T2,5,Test
Alc+Str,81,380,Dark,T2,5,Test
Str,83,663,White,T2,5,Test
Str,83,432,Dark,T2,5,Test
Ctr,84,465,White,T2,5,Test
Ctr,84,324,Dark,T2,5,Test
Alc,85,396,White,T2,5,Test
Alc,85,390,Dark,T2,5,Test
Ctr,87,306,White,T2,5,Test
Ctr,87,417,Dark,T2,5,Test
