Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch,Weight_kg_base
29/09/2021,52,Str,female,48,1,1,0.158,EtOH,start,124,123,Model,4,0
29/09/2021,53,Alc,female,48,1,1,0.153,EtOH,start,121,123,Model,4,0
29/09/2021,54,Ctrl,female,48,1,1,0.155,EtOH,start,123,123,Model,4,0
29/09/2021,56,Alc,female,48,1,1,0.161,EtOH,start,120,124,Model,4,0
29/09/2021,57,Str,female,48,1,1,0.163,EtOH,start,123,123,Model,4,0
29/09/2021,58,Alc+Str,female,48,1,1,0.154,EtOH,start,120,122,Model,4,0
29/09/2021,59,Ctrl,female,48,1,1,0.148,EtOH,start,122,122,Model,4,0
29/09/2021,61,Alc,male,48,1,1,0.117,EtOH,start,119,121,Model,4,0
29/09/2021,62,Alc+Str,male,48,1,1,0.155,EtOH,start,121,123,Model,4,0
29/09/2021,63,Ctrl,male,48,1,1,0.173,EtOH,start,121,123,Model,4,0
29/09/2021,64,Ctrl,male,48,1,1,0.191,EtOH,start,122,122,Model,4,0
29/09/2021,65,Str,male,48,1,1,0.182,EtOH,start,122,123,Model,4,0
29/09/2021,66,Alc+Str,male,48,1,1,0.208,EtOH,start,121,122,Model,4,0
29/09/2021,67,Alc,male,48,1,1,0.202,EtOH,start,119,125,Model,4,0
29/09/2021,52,Str,female,48,2,1,0.158,EtOH,30_mins,121,122,Model,4,0
29/09/2021,53,Alc,female,48,2,1,0.153,EtOH,30_mins,116,113,Model,4,0
29/09/2021,54,Ctrl,female,48,2,1,0.155,EtOH,30_mins,120,119,Model,4,0
29/09/2021,56,Alc,female,48,2,1,0.161,EtOH,30_mins,119,117,Model,4,0
29/09/2021,57,Str,female,48,2,1,0.163,EtOH,30_mins,122,122,Model,4,0
29/09/2021,58,Alc+Str,female,48,2,1,0.154,EtOH,30_mins,120,119,Model,4,0
29/09/2021,59,Ctrl,female,48,2,1,0.148,EtOH,30_mins,121,121,Model,4,0
29/09/2021,61,Alc,male,48,2,1,0.117,EtOH,30_mins,119,114,Model,4,0
29/09/2021,62,Alc+Str,male,48,2,1,0.155,EtOH,30_mins,120,122,Model,4,0
29/09/2021,63,Ctrl,male,48,2,1,0.173,EtOH,30_mins,119,122,Model,4,0
29/09/2021,64,Ctrl,male,48,2,1,0.191,EtOH,30_mins,120,115,Model,4,0
29/09/2021,65,Str,male,48,2,1,0.182,EtOH,30_mins,120,121,Model,4,0
29/09/2021,66,Alc+Str,male,48,2,1,0.208,EtOH,30_mins,119,121,Model,4,0
29/09/2021,67,Alc,male,48,2,1,0.202,EtOH,30_mins,118,120,Model,4,0
30/09/2021,52,Str,female,48,2,1,0.158,EtOH,24_hrs,97,113,Model,4,0
30/09/2021,53,Alc,female,48,2,1,0.153,EtOH,24_hrs,113,92,Model,4,0
30/09/2021,54,Ctrl,female,48,2,1,0.155,EtOH,24_hrs,99,117,Model,4,0
30/09/2021,56,Alc,female,48,2,1,0.161,EtOH,24_hrs,117,86,Model,4,0
30/09/2021,57,Str,female,48,2,1,0.163,EtOH,24_hrs,109,113,Model,4,0
30/09/2021,58,Alc+Str,female,48,2,1,0.154,EtOH,24_hrs,113,103,Model,4,0
30/09/2021,59,Ctrl,female,48,2,1,0.148,EtOH,24_hrs,101,113,Model,4,0
30/09/2021,61,Alc,male,48,2,1,0.117,EtOH,24_hrs,115,92,Model,4,0
30/09/2021,62,Alc+Str,male,48,2,1,0.155,EtOH,24_hrs,118,91,Model,4,0
30/09/2021,63,Ctrl,male,48,2,1,0.173,EtOH,24_hrs,100,114,Model,4,0
30/09/2021,64,Ctrl,male,48,2,1,0.191,EtOH,24_hrs,120,84,Model,4,0
30/09/2021,65,Str,male,48,2,1,0.182,EtOH,24_hrs,99,120,Model,4,0
30/09/2021,66,Alc+Str,male,48,2,1,0.208,EtOH,24_hrs,102,117,Model,4,0
30/09/2021,67,Alc,male,48,2,1,0.202,EtOH,24_hrs,112,99,Model,4,0
30/09/2021,52,Str,female,49,3,1,0.158,H2O,start,123,122,Model,4,0
30/09/2021,53,Alc,female,49,3,1,0.156,H2O,start,122,122,Model,4,0.003
30/09/2021,54,Ctrl,female,49,3,1,0.16,H2O,start,123,123,Model,4,0.005
30/09/2021,56,Alc,female,49,3,1,0.164,H2O,start,123,122,Model,4,0.003
30/09/2021,57,Str,female,49,3,1,0.161,H2O,start,122,122,Model,4,-0.002
30/09/2021,58,Alc+Str,female,49,3,1,0.153,H2O,start,121,120,Model,4,-0.001
30/09/2021,59,Ctrl,female,49,3,1,0.151,H2O,start,121,120,Model,4,0.003
30/09/2021,61,Alc,male,49,3,1,0.141,H2O,start,121,122,Model,4,-0.036
30/09/2021,62,Alc+Str,male,49,3,1,0.165,H2O,start,122,122,Model,4,0.01
30/09/2021,63,Ctrl,male,49,3,1,0.189,H2O,start,121,123,Model,4,0.016
30/09/2021,64,Ctrl,male,49,3,1,0.195,H2O,start,121,121,Model,4,0.004
30/09/2021,65,Str,male,49,3,1,0.189,H2O,start,121,123,Model,4,0.007
30/09/2021,66,Alc+Str,male,49,3,1,0.206,H2O,start,122,121,Model,4,-0.002
30/09/2021,67,Alc,male,49,3,1,0.21,H2O,start,120,121,Model,4,0.008
01/10/21,52,Str,female,49,3,1,0.158,H2O,24_hrs,97,118,Model,4,0
01/10/21,53,Alc,female,49,3,1,0.156,H2O,24_hrs,121,119,Model,4,0.003
01/10/21,54,Ctrl,female,49,3,1,0.16,H2O,24_hrs,109,115,Model,4,0.005
01/10/21,56,Alc,female,49,3,1,0.164,H2O,24_hrs,117,107,Model,4,0.003
01/10/21,57,Str,female,49,3,1,0.161,H2O,24_hrs,121,91,Model,4,-0.002
01/10/21,58,Alc+Str,female,49,3,1,0.153,H2O,24_hrs,119,88,Model,4,-0.001
01/10/21,59,Ctrl,female,49,3,1,0.151,H2O,24_hrs,119,94,Model,4,0.003
01/10/21,61,Alc,male,49,3,1,0.141,H2O,24_hrs,97,117,Model,4,-0.036
01/10/21,62,Alc+Str,male,49,3,1,0.165,H2O,24_hrs,110,101,Model,4,0.01
01/10/21,63,Ctrl,male,49,3,1,0.189,H2O,24_hrs,119,90,Model,4,0.016
01/10/21,64,Ctrl,male,49,3,1,0.195,H2O,24_hrs,119,83,Model,4,0.004
01/10/21,65,Str,male,49,3,1,0.189,H2O,24_hrs,109,103,Model,4,0.007
01/10/21,66,Alc+Str,male,49,3,1,0.206,H2O,24_hrs,113,94,Model,4,-0.002
01/10/21,67,Alc,male,49,3,1,0.21,H2O,24_hrs,98,102,Model,4,0.008
01/10/21,52,Str,female,50,3,2,0.166,EtOH,start,122,122,Model,4,0.008
01/10/21,53,Alc,female,50,3,2,0.15,EtOH,start,121,123,Model,4,-0.003
01/10/21,54,Ctrl,female,50,3,2,0.165,EtOH,start,124,122,Model,4,0.01
01/10/21,56,Alc,female,50,3,2,0.168,EtOH,start,120,123,Model,4,0.007
01/10/21,57,Str,female,50,3,2,0.171,EtOH,start,123,124,Model,4,0.008
01/10/21,58,Alc+Str,female,50,3,2,0.16,EtOH,start,120,121,Model,4,0.006
01/10/21,59,Ctrl,female,50,3,2,0.156,EtOH,start,113,123,Model,4,0.008
01/10/21,61,Alc,male,50,3,2,0.15,EtOH,start,121,122,Model,4,-0.027
01/10/21,62,Alc+Str,male,50,3,2,0.168,EtOH,start,120,121,Model,4,0.013
01/10/21,63,Ctrl,male,50,3,2,0.198,EtOH,start,123,120,Model,4,0.025
01/10/21,64,Ctrl,male,50,3,2,0.204,EtOH,start,122,122,Model,4,0.013
01/10/21,65,Str,male,50,3,2,0.195,EtOH,start,119,122,Model,4,0.013
01/10/21,66,Alc+Str,male,50,3,2,0.209,EtOH,start,120,123,Model,4,0.001
01/10/21,67,Alc,male,50,3,2,0.219,EtOH,start,120,122,Model,4,0.017
01/10/21,52,Str,female,50,4,2,0.166,EtOH,30_mins,122,120,Model,4,0.008
01/10/21,53,Alc,female,50,4,2,0.15,EtOH,30_mins,121,123,Model,4,-0.003
01/10/21,54,Ctrl,female,50,4,2,0.165,EtOH,30_mins,122,122,Model,4,0.01
01/10/21,56,Alc,female,50,4,2,0.168,EtOH,30_mins,120,119,Model,4,0.007
01/10/21,57,Str,female,50,4,2,0.171,EtOH,30_mins,120,121,Model,4,0.008
01/10/21,58,Alc+Str,female,50,4,2,0.16,EtOH,30_mins,120,121,Model,4,0.006
01/10/21,59,Ctrl,female,50,4,2,0.156,EtOH,30_mins,110,122,Model,4,0.008
01/10/21,61,Alc,male,50,4,2,0.15,EtOH,30_mins,121,122,Model,4,-0.027
01/10/21,62,Alc+Str,male,50,4,2,0.168,EtOH,30_mins,119,121,Model,4,0.013
01/10/21,63,Ctrl,male,50,4,2,0.198,EtOH,30_mins,123,117,Model,4,0.025
01/10/21,64,Ctrl,male,50,4,2,0.204,EtOH,30_mins,121,121,Model,4,0.013
01/10/21,65,Str,male,50,4,2,0.195,EtOH,30_mins,118,121,Model,4,0.013
01/10/21,66,Alc+Str,male,50,4,2,0.209,EtOH,30_mins,118,119,Model,4,0.001
01/10/21,67,Alc,male,50,4,2,0.219,EtOH,30_mins,117,119,Model,4,0.017
02/10/21,52,Str,female,50,4,2,0.166,EtOH,24_hrs,95,112,Model,4,0.008
02/10/21,53,Alc,female,50,4,2,0.15,EtOH,24_hrs,118,115,Model,4,-0.003
02/10/21,54,Ctrl,female,50,4,2,0.165,EtOH,24_hrs,97,117,Model,4,0.01
02/10/21,56,Alc,female,50,4,2,0.168,EtOH,24_hrs,118,85,Model,4,0.007
02/10/21,57,Str,female,50,4,2,0.171,EtOH,24_hrs,95,121,Model,4,0.008
02/10/21,58,Alc+Str,female,50,4,2,0.16,EtOH,24_hrs,115,92,Model,4,0.006
02/10/21,59,Ctrl,female,50,4,2,0.156,EtOH,24_hrs,88,115,Model,4,0.008
02/10/21,61,Alc,male,50,4,2,0.15,EtOH,24_hrs,118,97,Model,4,-0.027
02/10/21,62,Alc+Str,male,50,4,2,0.168,EtOH,24_hrs,107,119,Model,4,0.013
02/10/21,63,Ctrl,male,50,4,2,0.198,EtOH,24_hrs,92,114,Model,4,0.025
02/10/21,64,Ctrl,male,50,4,2,0.204,EtOH,24_hrs,88,115,Model,4,0.013
02/10/21,65,Str,male,50,4,2,0.195,EtOH,24_hrs,113,97,Model,4,0.013
02/10/21,66,Alc+Str,male,50,4,2,0.209,EtOH,24_hrs,111,95,Model,4,0.001
02/10/21,67,Alc,male,50,4,2,0.219,EtOH,24_hrs,118,78,Model,4,0.017
02/10/21,52,Str,female,51,5,2,0.116,H2O,start,124,123,Model,4,-0.042
02/10/21,53,Alc,female,51,5,2,0.144,H2O,start,124,122,Model,4,-0.009
02/10/21,54,Ctrl,female,51,5,2,0.173,H2O,start,124,123,Model,4,0.018
02/10/21,56,Alc,female,51,5,2,0.169,H2O,start,124,123,Model,4,0.008
02/10/21,57,Str,female,51,5,2,0.171,H2O,start,124,124,Model,4,0.008
02/10/21,58,Alc+Str,female,51,5,2,0.169,H2O,start,124,124,Model,4,0.015
02/10/21,59,Ctrl,female,51,5,2,0.159,H2O,start,123,123,Model,4,0.011
02/10/21,61,Alc,male,51,5,2,0.162,H2O,start,124,122,Model,4,-0.015
02/10/21,62,Alc+Str,male,51,5,2,0.171,H2O,start,123,122,Model,4,0.016
02/10/21,63,Ctrl,male,51,5,2,0.21,H2O,start,124,123,Model,4,0.037
02/10/21,64,Ctrl,male,51,5,2,0.211,H2O,start,123,123,Model,4,0.02
02/10/21,65,Str,male,51,5,2,0.205,H2O,start,122,122,Model,4,0.023
02/10/21,66,Alc+Str,male,51,5,2,0.216,H2O,start,123,122,Model,4,0.008
02/10/21,67,Alc,male,51,5,2,0.23,H2O,start,123,123,Model,4,0.028
04/10/21,52,Str,female,51,5,2,0.116,H2O,48_hrs,116,65,Model,4,-0.042
04/10/21,53,Alc,female,51,5,2,0.144,H2O,48_hrs,123,121,Model,4,-0.009
04/10/21,54,Ctrl,female,51,5,2,0.173,H2O,48_hrs,86,102,Model,4,0.018
04/10/21,56,Alc,female,51,5,2,0.169,H2O,48_hrs,121,56,Model,4,0.008
04/10/21,57,Str,female,51,5,2,0.171,H2O,48_hrs,123,74,Model,4,0.008
04/10/21,58,Alc+Str,female,51,5,2,0.169,H2O,48_hrs,77,93,Model,4,0.015
04/10/21,59,Ctrl,female,51,5,2,0.159,H2O,48_hrs,122,60,Model,4,0.011
04/10/21,61,Alc,male,51,5,2,0.162,H2O,48_hrs,113,78,Model,4,-0.015
04/10/21,62,Alc+Str,male,51,5,2,0.171,H2O,48_hrs,95,66,Model,4,0.016
04/10/21,63,Ctrl,male,51,5,2,0.21,H2O,48_hrs,86,93,Model,4,0.037
04/10/21,64,Ctrl,male,51,5,2,0.211,H2O,48_hrs,66,119,Model,4,0.02
04/10/21,65,Str,male,51,5,2,0.205,H2O,48_hrs,114,62,Model,4,0.023
04/10/21,66,Alc+Str,male,51,5,2,0.216,H2O,48_hrs,28,106,Model,4,0.008
04/10/21,67,Alc,male,51,5,2,0.23,H2O,48_hrs,62,93,Model,4,0.028
04/10/21,52,Str,female,53,5,3,0.172,EtOH,start,122,123,Model,4,0.014
04/10/21,53,Alc,female,53,5,3,0.149,EtOH,start,120,121,Model,4,-0.004
04/10/21,54,Ctrl,female,53,5,3,0.177,EtOH,start,122,124,Model,4,0.022
04/10/21,56,Alc,female,53,5,3,0.178,EtOH,start,120,121,Model,4,0.017
04/10/21,57,Str,female,53,5,3,0.182,EtOH,start,123,122,Model,4,0.019
04/10/21,58,Alc+Str,female,53,5,3,0.177,EtOH,start,120,121,Model,4,0.023
04/10/21,59,Ctrl,female,53,5,3,0.17,EtOH,start,123,124,Model,4,0.022
04/10/21,61,Alc,male,53,5,3,0.17,EtOH,start,118,123,Model,4,-0.007
04/10/21,62,Alc+Str,male,53,5,3,0.197,EtOH,start,119,123,Model,4,0.042
04/10/21,63,Ctrl,male,53,5,3,0.235,EtOH,start,123,124,Model,4,0.062
04/10/21,64,Ctrl,male,53,5,3,0.224,EtOH,start,122,122,Model,4,0.033
04/10/21,65,Str,male,53,5,3,0.22,EtOH,start,123,121,Model,4,0.038
04/10/21,66,Alc+Str,male,53,5,3,0.279,EtOH,start,120,122,Model,4,0.071
04/10/21,67,Alc,male,53,5,3,0.249,EtOH,start,112,125,Model,4,0.047
04/10/21,52,Str,female,53,6,3,0.172,EtOH,30_mins,121,121,Model,4,0.014
04/10/21,53,Alc,female,53,6,3,0.149,EtOH,30_mins,118,103,Model,4,-0.004
04/10/21,54,Ctrl,female,53,6,3,0.177,EtOH,30_mins,118,123,Model,4,0.022
04/10/21,56,Alc,female,53,6,3,0.178,EtOH,30_mins,118,119,Model,4,0.017
04/10/21,57,Str,female,53,6,3,0.182,EtOH,30_mins,121,116,Model,4,0.019
04/10/21,58,Alc+Str,female,53,6,3,0.177,EtOH,30_mins,116,120,Model,4,0.023
04/10/21,59,Ctrl,female,53,6,3,0.17,EtOH,30_mins,121,119,Model,4,0.022
04/10/21,61,Alc,male,53,6,3,0.17,EtOH,30_mins,118,122,Model,4,-0.007
04/10/21,62,Alc+Str,male,53,6,3,0.197,EtOH,30_mins,118,121,Model,4,0.042
04/10/21,63,Ctrl,male,53,6,3,0.235,EtOH,30_mins,122,120,Model,4,0.062
04/10/21,64,Ctrl,male,53,6,3,0.224,EtOH,30_mins,120,121,Model,4,0.033
04/10/21,65,Str,male,53,6,3,0.22,EtOH,30_mins,123,120,Model,4,0.038
04/10/21,66,Alc+Str,male,53,6,3,0.279,EtOH,30_mins,118,121,Model,4,0.071
04/10/21,67,Alc,male,53,6,3,0.249,EtOH,30_mins,111,124,Model,4,0.047
05/10/21,52,Str,female,53,6,3,0.172,EtOH,24_hrs,119,96,Model,4,0.014
05/10/21,53,Alc,female,53,6,3,0.149,EtOH,24_hrs,113,75,Model,4,-0.004
05/10/21,54,Ctrl,female,53,6,3,0.177,EtOH,24_hrs,99,116,Model,4,0.022
05/10/21,56,Alc,female,53,6,3,0.178,EtOH,24_hrs,112,95,Model,4,0.017
05/10/21,57,Str,female,53,6,3,0.182,EtOH,24_hrs,107,112,Model,4,0.019
05/10/21,58,Alc+Str,female,53,6,3,0.177,EtOH,24_hrs,113,97,Model,4,0.023
05/10/21,59,Ctrl,female,53,6,3,0.17,EtOH,24_hrs,118,96,Model,4,0.022
05/10/21,61,Alc,male,53,6,3,0.17,EtOH,24_hrs,116,93,Model,4,-0.007
05/10/21,62,Alc+Str,male,53,6,3,0.197,EtOH,24_hrs,107,105,Model,4,0.042
05/10/21,63,Ctrl,male,53,6,3,0.235,EtOH,24_hrs,118,116,Model,4,0.062
05/10/21,64,Ctrl,male,53,6,3,0.224,EtOH,24_hrs,119,100,Model,4,0.033
05/10/21,65,Str,male,53,6,3,0.22,EtOH,24_hrs,96,118,Model,4,0.038
05/10/21,66,Alc+Str,male,53,6,3,0.279,EtOH,24_hrs,110,106,Model,4,0.071
05/10/21,67,Alc,male,53,6,3,0.249,EtOH,24_hrs,107,83,Model,4,0.047
05/10/21,52,Str,female,54,7,3,0.173,H2O,start,123,122,Model,4,0.015
05/10/21,53,Alc,female,54,7,3,0.167,H2O,start,124,122,Model,4,0.014
05/10/21,54,Ctrl,female,54,7,3,0.185,H2O,start,124,122,Model,4,0.03
05/10/21,56,Alc,female,54,7,3,0.181,H2O,start,122,123,Model,4,0.02
05/10/21,57,Str,female,54,7,3,0.175,H2O,start,122,124,Model,4,0.012
05/10/21,58,Alc+Str,female,54,7,3,0.177,H2O,start,123,123,Model,4,0.023
05/10/21,59,Ctrl,female,54,7,3,0.17,H2O,start,122,123,Model,4,0.022
05/10/21,61,Alc,male,54,7,3,0.176,H2O,start,122,123,Model,4,-0.001
05/10/21,62,Alc+Str,male,54,7,3,0.189,H2O,start,123,123,Model,4,0.034
05/10/21,63,Ctrl,male,54,7,3,0.23,H2O,start,122,123,Model,4,0.057
05/10/21,64,Ctrl,male,54,7,3,0.226,H2O,start,123,123,Model,4,0.035
05/10/21,65,Str,male,54,7,3,0.223,H2O,start,123,122,Model,4,0.041
05/10/21,66,Alc+Str,male,54,7,3,0.236,H2O,start,121,123,Model,4,0.028
05/10/21,67,Alc,male,54,7,3,0.247,H2O,start,122,122,Model,4,0.045
06/10/21,52,Str,female,54,7,3,0.173,H2O,24_hrs,123,84,Model,4,0.015
06/10/21,53,Alc,female,54,7,3,0.167,H2O,24_hrs,122,120,Model,4,0.014
06/10/21,54,Ctrl,female,54,7,3,0.185,H2O,24_hrs,121,95,Model,4,0.03
06/10/21,56,Alc,female,54,7,3,0.181,H2O,24_hrs,91,122,Model,4,0.02
06/10/21,57,Str,female,54,7,3,0.175,H2O,24_hrs,118,95,Model,4,0.012
06/10/21,58,Alc+Str,female,54,7,3,0.177,H2O,24_hrs,110,96,Model,4,0.023
06/10/21,59,Ctrl,female,54,7,3,0.17,H2O,24_hrs,106,105,Model,4,0.022
06/10/21,61,Alc,male,54,7,3,0.176,H2O,24_hrs,102,108,Model,4,-0.001
06/10/21,62,Alc+Str,male,54,7,3,0.189,H2O,24_hrs,112,89,Model,4,0.034
06/10/21,63,Ctrl,male,54,7,3,0.23,H2O,24_hrs,84,118,Model,4,0.057
06/10/21,64,Ctrl,male,54,7,3,0.226,H2O,24_hrs,115,84,Model,4,0.035
06/10/21,65,Str,male,54,7,3,0.223,H2O,24_hrs,108,103,Model,4,0.041
06/10/21,66,Alc+Str,male,54,7,3,0.236,H2O,24_hrs,92,108,Model,4,0.028
06/10/21,67,Alc,male,54,7,3,0.247,H2O,24_hrs,115,83,Model,4,0.045
06/10/21,52,Str,female,55,7,4,0.158,EtOH,start,123,123,Model,4,0
06/10/21,53,Alc,female,55,7,4,0.159,EtOH,start,118,122,Model,4,0.006
06/10/21,54,Ctrl,female,55,7,4,0.187,EtOH,start,122,124,Model,4,0.032
06/10/21,56,Alc,female,55,7,4,0.186,EtOH,start,120,124,Model,4,0.025
06/10/21,57,Str,female,55,7,4,0.182,EtOH,start,122,121,Model,4,0.019
06/10/21,58,Alc+Str,female,55,7,4,0.182,EtOH,start,119,123,Model,4,0.028
06/10/21,59,Ctrl,female,55,7,4,0.174,EtOH,start,121,126,Model,4,0.026
06/10/21,61,Alc,male,55,7,4,0.187,EtOH,start,118,123,Model,4,0.01
06/10/21,62,Alc+Str,male,55,7,4,0.204,EtOH,start,119,123,Model,4,0.049
06/10/21,63,Ctrl,male,55,7,4,0.238,EtOH,start,120,123,Model,4,0.065
06/10/21,64,Ctrl,male,55,7,4,0.237,EtOH,start,135,122,Model,4,0.046
