RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch,Weight_kg_base
68,Alc+Str,female,46,1,1,0.136,EtOH,start,121,124,Model,5,0
69,Alc,female,46,1,1,0.178,EtOH,start,122,125,Model,5,0
70,Ctrl,female,46,1,1,0.18,EtOH,start,128,124,Model,5,0
71,Alc+Str,female,46,1,1,0.18,EtOH,start,122,129,Model,5,0
72,Str,female,46,1,1,0.164,EtOH,start,123,126,Model,5,0
74,Str,female,46,1,1,0.181,EtOH,start,125,125,Model,5,0
75,Ctrl,female,46,1,1,0.155,EtOH,start,125,123,Model,5,0
76,Alc,female,46,1,1,0.196,EtOH,start,120,125,Model,5,0
77,Alc,female,46,1,1,0.086,EtOH,start,120,124,Model,5,0
78,Alc+Str,male,46,1,1,0.176,EtOH,start,117,123,Model,5,0
79,Str,male,46,1,1,0.167,EtOH,start,124,121,Model,5,0
81,Alc+Str,male,46,1,1,0.226,EtOH,start,124,121,Model,5,0
83,Str,male,46,1,1,0.174,EtOH,start,124,123,Model,5,0
84,Ctrl,male,46,1,1,0.166,EtOH,start,124,123,Model,5,0
85,Alc,male,46,1,1,0.184,EtOH,start,127,123,Model,5,0
86,Ctrl,male,46,1,1,0.186,EtOH,start,124,123,Model,5,0
87,Ctrl,male,46,1,1,0.173,EtOH,start,125,124,Model,5,0
68,Alc+Str,female,46,1,1,0.136,EtOH,30_mins,120,124,Model,5,0
69,Alc,female,46,1,1,0.178,EtOH,30_mins,122,125,Model,5,0
70,Ctrl,female,46,1,1,0.18,EtOH,30_mins,126,124,Model,5,0
71,Alc+Str,female,46,1,1,0.18,EtOH,30_mins,121,122,Model,5,0
72,Str,female,46,1,1,0.164,EtOH,30_mins,122,124,Model,5,0
74,Str,female,46,1,1,0.181,EtOH,30_mins,124,124,Model,5,0
75,Ctrl,female,46,1,1,0.155,EtOH,30_mins,124,122,Model,5,0
76,Alc,female,46,1,1,0.196,EtOH,30_mins,119,123,Model,5,0
77,Alc,female,46,1,1,0.086,EtOH,30_mins,120,124,Model,5,0
78,Alc+Str,male,46,1,1,0.176,EtOH,30_mins,115,122,Model,5,0
79,Str,male,46,1,1,0.167,EtOH,30_mins,121,121,Model,5,0
81,Alc+Str,male,46,1,1,0.226,EtOH,30_mins,123,120,Model,5,0
83,Str,male,46,1,1,0.174,EtOH,30_mins,123,122,Model,5,0
84,Ctrl,male,46,1,1,0.166,EtOH,30_mins,125,122,Model,5,0
85,Alc,male,46,1,1,0.184,EtOH,30_mins,123,123,Model,5,0
86,Ctrl,male,46,1,1,0.186,EtOH,30_mins,123,121,Model,5,0
87,Ctrl,male,46,1,1,0.173,EtOH,30_mins,124,120,Model,5,0
68,Alc+Str,female,46,2,1,0.136,EtOH,24_hrs,114,123,Model,5,0
69,Alc,female,46,2,1,0.178,EtOH,24_hrs,121,124,Model,5,0
70,Ctrl,female,46,2,1,0.18,EtOH,24_hrs,125,123,Model,5,0
71,Alc+Str,female,46,2,1,0.18,EtOH,24_hrs,120,95,Model,5,0
72,Str,female,46,2,1,0.164,EtOH,24_hrs,122,122,Model,5,0
74,Str,female,46,2,1,0.181,EtOH,24_hrs,123,98,Model,5,0
75,Ctrl,female,46,2,1,0.155,EtOH,24_hrs,124,122,Model,5,0
76,Alc,female,46,2,1,0.196,EtOH,24_hrs,111,123,Model,5,0
77,Alc,female,46,2,1,0.086,EtOH,24_hrs,115,122,Model,5,0
78,Alc+Str,male,46,2,1,0.176,EtOH,24_hrs,114,116,Model,5,0
79,Str,male,46,2,1,0.167,EtOH,24_hrs,97,121,Model,5,0
81,Alc+Str,male,46,2,1,0.226,EtOH,24_hrs,121,86,Model,5,0
83,Str,male,46,2,1,0.174,EtOH,24_hrs,123,121,Model,5,0
84,Ctrl,male,46,2,1,0.166,EtOH,24_hrs,90,120,Model,5,0
85,Alc,male,46,2,1,0.184,EtOH,24_hrs,124,99,Model,5,0
86,Ctrl,male,46,2,1,0.186,EtOH,24_hrs,111,122,Model,5,0
87,Ctrl,male,46,2,1,0.173,EtOH,24_hrs,123,90,Model,5,0
68,Alc+Str,female,47,2,1,0.131,H2O,start,122,127,Model,5,-0.005
69,Alc,female,47,2,1,0.153,H2O,start,123,126,Model,5,-0.025
70,Ctrl,female,47,2,1,0.157,H2O,start,122,126,Model,5,-0.023
71,Alc+Str,female,47,2,1,0.183,H2O,start,124,126,Model,5,0.003
